"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"19299","Speichersdorf","11,7883","49,8713","463.0","https://cdc.dwd.de/rest/metadata/station/html/1901553091"
"19577","Nesselberghaus","10,5835","50,7669","651.0","https://cdc.dwd.de/rest/metadata/station/html/1907381496"
"19042","Netphen-Ober-Netphen","8,1100","50,9100","285.0","https://cdc.dwd.de/rest/metadata/station/html/1911009709"
"14029","Wahlbach/Hunsr.","7,5928","50,0005","418.0","https://cdc.dwd.de/rest/metadata/station/html/1911908594"
"604","Bonndorf/Schwarzwald","8,3348","47,8194","875.0","https://cdc.dwd.de/rest/metadata/station/html/1915352517"
"19128","Traunreut-Stein","12,5479","47,9800","506.0","https://cdc.dwd.de/rest/metadata/station/html/1919771666"
"19649","Buchenau","13,3275","49,0318","740.0","https://cdc.dwd.de/rest/metadata/station/html/195223836"
"15040","Kell am See","6,8131","49,6303","455.0","https://cdc.dwd.de/rest/metadata/station/html/1954455025"
"13780","Schallodenbach/Pfalz","7,7179","49,5419","310.0","https://cdc.dwd.de/rest/metadata/station/html/196282815"
"19648","Laufen/Oberbayern","12,9303","47,9388","400.0","https://cdc.dwd.de/rest/metadata/station/html/1972456645"
"2713","Konstanz (Stadtgärtnerei)","9,1634","47,6605","398.0","https://cdc.dwd.de/rest/metadata/station/html/1975129843"
"7241","Welzheim (Kläranlage)","9,6442","48,8707","470.0","https://cdc.dwd.de/rest/metadata/station/html/1981768516"
"17456","Berlin-Staaken","13,1410","52,5320","33.0","https://cdc.dwd.de/rest/metadata/station/html/1988518393"
"19629","Feilnbach,Bad/Oberbayern","12,0111","47,7682","530.0","https://cdc.dwd.de/rest/metadata/station/html/2001480953"
"1363","Finnentrop-Weringhausen","7,9880","51,1723","342.0","https://cdc.dwd.de/rest/metadata/station/html/2004332847"
"19641","Jocketa/Vogtland","12,1832","50,5516","380.0","https://cdc.dwd.de/rest/metadata/station/html/201069133"
"2244","Höchenschwand","8,1627","47,7327","1008.0","https://cdc.dwd.de/rest/metadata/station/html/2012308628"
"19378","Finsterbergen","10,5833","50,8333","505.0","https://cdc.dwd.de/rest/metadata/station/html/2032363765"
"14026","Isert","7,7003","50,7316","296.0","https://cdc.dwd.de/rest/metadata/station/html/2034964854"
"19637","Hasloch/Unterfranken","9,4900","49,7914","150.0","https://cdc.dwd.de/rest/metadata/station/html/2042608075"
"19209","Udler","6,8530","50,1346","472.0","https://cdc.dwd.de/rest/metadata/station/html/2043833738"
"15989","Leisel","7,1936","49,7410","649.0","https://cdc.dwd.de/rest/metadata/station/html/2047627548"
"15009","Abentheuer","7,1039","49,6570","460.0","https://cdc.dwd.de/rest/metadata/station/html/2049638710"
"5989","Mulfingen","9,7871","49,3502","262.0","https://cdc.dwd.de/rest/metadata/station/html/206707890"
"19505","Bechhofen/Mittelfranken -Voggendorf","10,5920","49,1629","425.0","https://cdc.dwd.de/rest/metadata/station/html/2077931730"
"15249","Liebenscheid","8,0884","50,6936","560.0","https://cdc.dwd.de/rest/metadata/station/html/2114404499"
"7362","Brandis (Lysimeterstation)","12,5954","51,3268","135.0","https://cdc.dwd.de/rest/metadata/station/html/2128038023"
"19279","Hessisch Lichtenau-Velmeden","9,7929","51,2139","378.0","https://cdc.dwd.de/rest/metadata/station/html/2141871727"
"19646","Lauf/Pegnitz-Heuchling","11,2961","49,5181","333.0","https://cdc.dwd.de/rest/metadata/station/html/2143544515"
"14007","Mainz-Marienborn","8,2360","49,9596","164.0","https://cdc.dwd.de/rest/metadata/station/html/2153497043"
"3616","Hachenburg/Westerwaldkreis","7,8050","50,6603","306.0","https://cdc.dwd.de/rest/metadata/station/html/2159934133"
"14031","Merzkirchen","6,4647","49,5725","369.0","https://cdc.dwd.de/rest/metadata/station/html/2166903259"
"14018","Dackenheim/Pfalz","8,1875","49,5189","180.0","https://cdc.dwd.de/rest/metadata/station/html/220613742"
"6300","Schwangau-Horn (LfW)","10,7179","47,5768","796.0","https://cdc.dwd.de/rest/metadata/station/html/2207644"
"2889","Lauterberg, Bad (A)","10,4737","51,6323","300.0","https://cdc.dwd.de/rest/metadata/station/html/2210110147"
"5289","Waldachtal-Lützenhardt","8,5612","48,4918","595.0","https://cdc.dwd.de/rest/metadata/station/html/2217491152"
"15824","Dannenfels/Donnersberg","7,9211","49,6331","593.0","https://cdc.dwd.de/rest/metadata/station/html/2245105872"
"19596","Oberammergau/Obb.","11,0781","47,6031","880.0","https://cdc.dwd.de/rest/metadata/station/html/224747265"
"7234","Schiltach/ Kinzig","8,3066","48,2934","310.0","https://cdc.dwd.de/rest/metadata/station/html/2287034711"
"19100","Neuwied-Torney","7,4962","50,4563","97.0","https://cdc.dwd.de/rest/metadata/station/html/2326052800"
"19542","Kelberg/Eifel","6,9128","50,2910","495.0","https://cdc.dwd.de/rest/metadata/station/html/2328936926"
"19512","Großschirma-Hohentanne","13,3170","50,9830","318.0","https://cdc.dwd.de/rest/metadata/station/html/233782893"
"6299","Ruhpolding (Kläranlage)","12,6441","47,7733","650.0","https://cdc.dwd.de/rest/metadata/station/html/23467755"
"7493","Forbach","8,3534","48,6704","304.0","https://cdc.dwd.de/rest/metadata/station/html/2348941309"
"15517","Ulmen","6,9859","50,1966","406.0","https://cdc.dwd.de/rest/metadata/station/html/2353922482"
"5985","Boll, Bad (Kläranlage)","9,6232","48,6520","386.0","https://cdc.dwd.de/rest/metadata/station/html/2355179170"
"19840","Badresch","13,6158","53,5453","45.0","https://cdc.dwd.de/rest/metadata/station/html/2359332721"
"1302","Essen (Ruhrhaus)","7,0211","51,4484","100.0","https://cdc.dwd.de/rest/metadata/station/html/2363366327"
"19603","Offenbach an der Queich","8,2149","49,2064","126.0","https://cdc.dwd.de/rest/metadata/station/html/236741824"
"19096","Erkerode","10,7095","52,2014","170.0","https://cdc.dwd.de/rest/metadata/station/html/237240621"
"14028","Martinshöhe","7,4688","49,3684","411.0","https://cdc.dwd.de/rest/metadata/station/html/2441294761"
"19613","Deisenhofen bei München","11,5767","48,0363","585.0","https://cdc.dwd.de/rest/metadata/station/html/2458203216"
"7436","Schönwald","8,1973","48,1004","1025.0","https://cdc.dwd.de/rest/metadata/station/html/2467461637"
"19647","Eberbach/Neckar","8,9794","49,4547","178.0","https://cdc.dwd.de/rest/metadata/station/html/2491960129"
"14023","Strickscheid","6,3126","50,1419","476.0","https://cdc.dwd.de/rest/metadata/station/html/2505084860"
"13694","Teisendorf-Babing","12,8222","47,8317","590.0","https://cdc.dwd.de/rest/metadata/station/html/2521047711"
"14011","Grenzau","7,6528","50,4528","309.0","https://cdc.dwd.de/rest/metadata/station/html/2525515222"
"4293","Rottach-Egern","11,7714","47,6819","747.0","https://cdc.dwd.de/rest/metadata/station/html/2542379036"
